VP;Schuhkauf;Schuhbesitz;Bek_Nike;Bek_Adidas;Bek_Puma;Bek_Louboutin;Bek_Fendi;Bek_FredPerry;Bek_paulgreen;Bek_drmartins;Bek_timberland;Bek_jordan;Bek_converse;Bek_deichmann;Bek_salamander;Bek_tommyhilfiger;Bek_vans;Bek_geox;Bek_michaelkors;Bek_kennelschmenger;Bek_valentino;Bek_marccain;Bek_brax;Bek_buffallo;Bek_ugg;Bek_tamaris;Bek_birkenstock;Bek_sonstiges;Kaufpreis;Letzter_Schuhkauf;Markenbesitz;Markenbesitz_Sonstige;Schuhgr_¤e;V_Nutzen;V_Kosten;V_Qualit_t;V_Design;V_Marke;Kaufort;B_Beschaffung;B_Preis;B_Aufwand;C_Qualit_t;C_Design;C_Marke;C_Aufwand;C_Preis;C_Zeit;D_Marke;D_Produkt;D_Kontakt;D_Alternative;D_Aspekte;Geschlecht;Alter;Arbeitssuchend;Angestellt;Selbst_ndig;in Ausbildung;Sonstige;Bez_Sonstges
VP1;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;bek_fendi;nichtbek_fredperry;bek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;bek_marccain;bek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;2;1;1;0;36;7;8;5;8;5;1;3;7;5;5;8;5;2;8;5;3;5;2;2;5;w;24;2;2;2;2;1;Werkstudent
VP2;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;nichtbek_fredperry;bek_paulgreen;nichtbek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;bek_marccain;bek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;2;2;1;0;37;9;10;8;10;8;1;9;10;10;10;10;8;6;9;6;7;9;1;4;5;w;26;2;1;2;2;2;0
VP3;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;bek_fendi;bek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;bek_kennelschmenger;bek_valentino;bek_marccain;bek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;2;2;26;Asos;37;8;7;8;10;4;1;6;7;7;7;9;4;6;5;5;1;1;1;8;8;w;26;2;1;2;2;2;0
VP4;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;nichtbek_salamander;bek_tommyhilfiger;bek_vans;nichtbek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;3;1;1;0;44;8;8;7;9;7;2;6;5;5;6;9;8;8;8;8;8;6;7;7;2;m;30;2;1;2;2;2;0
VP5;1;2;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;bek_marccain;nichtbek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;2;1;1;0;39;4;4;3;10;5;1;0;7;5;2;10;5;2;0;5;9;9;0;3;0;w;25;2;2;2;1;2;0
VP6;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;bek_fendi;bek_fredperry;bek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;bek_kennelschmenger;bek_valentino;bek_marccain;bek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;bek_sonstige;2;1;2;0;40;8;5;9;10;8;1;7;10;8;10;10;10;10;4;10;10;10;0;5;7;w;28;2;1;2;2;2;0
VP7;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;bek_fendi;nichtbek_fredperry;nichtbek_paulgreen;nichtbek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;nichtbek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;nichtbek_marccain;bek_brax;bek_buffalo;nichtbek_ugg;bek_tamaris;bek_birkenstock;bek_sonstige;3;1;26;Zara;45;8;7;8;9;5;2;3;6;6;4;6;7;5;6;6;4;3;3;3;8;m;32;2;1;2;2;2;0
VP8;1;2;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;nichtbek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;bek_sonstige;2;2;2;0;41;8;8;6;10;8;2;7;6;6;8;10;10;10;9;9;6;8;1;1;2;m;25;2;1;2;2;2;0
VP9;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;nichtbek_fredperry;bek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;bek_marccain;nichtbek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;bek_sonstige;3;1;26;Sacha;38;7;6;3;10;9;1;4;5;5;5;10;9;10;7;9;3;5;0;1;2;w;20;2;2;2;1;2;0
VP10;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;nichtbek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;2;1;26;Guess;41;8;8;1;10;8;1;10;10;10;5;10;10;10;5;10;0;5;0;0;0;w;24;2;2;2;1;2;0
VP11;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;bek_fredperry;bek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;nichtbek_valentino;bek_marccain;nichtbek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;1;3;26;Primark;39;4;9;4;9;4;1;7;5;3;0;4;0;3;8;7;0;0;0;0;2;w;25;2;1;2;2;2;0
VP12;2;2;bek_nike;bek_adidas;bek_puma;nichtbek_louboutin;nichtbek_fendi;bek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;nichtbek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;nichtbek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;nichtbek_ugg;nichtbek_tamaris;bek_birkenstock;bek_sonstige;2;3;3;0;44;8;8;9;5;0;2;5;5;8;9;6;0;3;7;5;0;5;0;0;2;m;36;2;1;2;2;2;0
VP13;1;3;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;nichtbek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;nichtbek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;nichtbek_ugg;bek_tamaris;bek_birkenstock;bek_sonstige;2;3;12;0;40;7;5;6;6;3;2;4;6;7;6;5;3;7;8;7;0;0;2;8;5;w;31;2;1;2;2;2;0
VP14;2;2;bek_nike;bek_adidas;bek_puma;bek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;nichtbek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;nichtbek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;nichtbek_ugg;bek_tamaris;nichtbek_birkenstock;nichtbek_sonstige;2;2;24;0;35;8;10;6;8;1;1;9;10;3;10;9;0;3;7;6;0;0;0;0;8;w;21;2;1;2;2;2;0
VP15;2;2;bek_nike;bek_adidas;bek_puma;nichtbek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;nichtbek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;nichtbek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;nichtbek_ugg;nichtbek_tamaris;nichtbek_birkenstock;nichtbek_sonstige;2;2;15;0;43;5;7;4;10;7;1;2;5;6;8;10;9;2;9;7;9;9;1;8;5;m;29;2;1;2;2;2;0
VP16;1;2;bek_nike;bek_adidas;bek_puma;nichtbek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;nichtbek_jordan;nichtbek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;nichtbek_michaelkors;nichtbek_kennelschmenger;nichtbek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;nichtbek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;2;4;2;0;45;10;5;9;7;1;2;4;5;3;9;5;1;2;5;3;0;2;3;1;10;m;41;2;1;2;2;2;0
VP17;2;2;bek_nike;bek_adidas;bek_puma;bek_louboutin;bek_fendi;bek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;bek_sonstige;2;2;2;0;48;7;6;6;9;7;1;8;9;8;10;10;10;10;10;8;1;1;1;2;9;m;27;2;2;2;2;1;Beamter
VP18;1;2;bek_nike;bek_adidas;bek_puma;nichtbek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;nichtbek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;nichtbek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;nichtbek_ugg;bek_tamaris;bek_birkenstock;bek_sonstige;2;3;1;0;42;10;5;9;6;4;2;9;8;2;6;9;3;1;5;1;2;9;7;1;5;m;31;2;1;2;2;2;0
VP19;1;2;bek_nike;bek_adidas;bek_puma;bek_louboutin;tbek_fendi;nichtbek_fredperry;bek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;bek_geox;bek_michaelkors;nichtbek_kennelschmenger;bek_valentino;nichtbek_marccain;bek_brax;bek_buffalo;nichtbek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;2;1;15;0;39;6;5;7;7;3;2;8;6;7;7;6;5;9;10;10;0;1;0;0;8;w;33;2;1;2;2;2;0
VP20;1;2;bek_nike;bek_adidas;bek_puma;nichtbek_louboutin;nichtbek_fendi;nichtbek_fredperry;nichtbek_paulgreen;bek_drmartins;bek_timberland;bek_jordan;bek_converse;bek_deichmann;bek_salamander;bek_tommyhilfiger;bek_vans;nichtbek_geox;bek_michaelkors;nichtbek_kennelschmenger;nichtbek_valentino;nichtbek_marccain;nichtbek_brax;bek_buffalo;bek_ugg;bek_tamaris;bek_birkenstock;nichtbek_sonstige;2;3;2;0;37;8;7;8;9;3;1;2;9;2;8;9;8;5;7;5;0;0;1;0;4;w;18;2;2;2;1;2;0
